City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Puerto Ayora,EC,2020-02-21 23:46:51,-0.74,-90.35,82.4,74,75,5.82
1,Quelimane,MZ,2020-02-21 23:46:51,-17.88,36.89,78.8,88,20,0.72
2,Rikitea,PF,2020-02-21 23:46:51,-23.12,-134.97,79.11,61,33,5.03
3,Beringovskiy,RU,2020-02-21 23:46:51,63.05,179.32,-5.03,75,2,1.12
4,Busselton,AU,2020-02-21 23:46:49,-33.65,115.33,75.0,48,100,11.41
5,Saskylakh,RU,2020-02-21 23:46:52,71.92,114.08,-11.31,97,100,8.32
6,Kodinsk,RU,2020-02-21 23:46:52,58.69,99.18,15.78,96,87,3.96
7,Albany,US,2020-02-21 23:45:07,42.6,-73.97,28.4,46,1,4.7
8,Podyuga,RU,2020-02-21 23:46:53,61.09,40.86,33.69,87,83,13.98
9,Severo-Kurilsk,RU,2020-02-21 23:46:53,50.68,156.12,17.31,89,94,25.61
10,Saldanha,ZA,2020-02-21 23:46:53,-33.01,17.94,66.2,77,0,13.87
11,New Norfolk,AU,2020-02-21 23:46:53,-42.78,147.06,70.0,44,80,11.41
12,Kapaa,US,2020-02-21 23:46:48,22.08,-159.32,78.8,65,1,18.34
13,Vao,NC,2020-02-21 23:46:54,-22.67,167.48,79.48,72,10,10.29
14,San Patricio,MX,2020-02-21 23:46:54,19.22,-104.7,80.6,78,20,5.82
15,Tuktoyaktuk,CA,2020-02-21 23:46:54,69.45,-133.04,1.4,84,90,10.29
16,Georgetown,MY,2020-02-21 23:43:01,5.41,100.34,80.6,83,20,3.36
17,Brawley,US,2020-02-21 23:46:56,32.98,-115.53,80.6,11,1,3.22
18,Mataura,NZ,2020-02-21 23:46:56,-46.19,168.86,54.0,79,97,11.01
19,Matagami,CA,2020-02-21 23:46:56,49.75,-77.63,30.2,50,1,12.75
20,Richards Bay,ZA,2020-02-21 23:46:56,-28.78,32.04,76.91,88,1,11.86
21,Panshi,CN,2020-02-21 23:46:57,42.94,126.06,20.26,94,76,11.12
22,Saint George,US,2020-02-21 23:43:50,37.1,-113.58,66.2,13,1,9.17
23,Vaini,TO,2020-02-21 23:46:57,-21.2,-175.2,82.4,78,75,12.75
24,Cabo San Lucas,MX,2020-02-21 23:42:34,22.89,-109.91,82.99,53,40,8.05
25,Yellowknife,CA,2020-02-21 23:46:57,62.46,-114.35,14.0,78,20,12.75
26,Guiuan,PH,2020-02-21 23:46:58,11.03,125.72,80.28,74,27,19.84
27,Nelson Bay,AU,2020-02-21 23:46:58,-32.72,152.15,77.0,60,75,10.29
28,Dungarpur,IN,2020-02-21 23:46:58,23.83,73.72,60.94,31,0,10.31
29,Port-Gentil,GA,2020-02-21 23:46:58,-0.72,8.78,78.8,100,20,10.4
30,Castro,BR,2020-02-21 23:46:59,-24.79,-50.01,64.69,99,17,8.55
31,Alice Springs,AU,2020-02-21 23:44:52,-23.7,133.88,77.0,21,0,13.87
32,Lebu,CL,2020-02-21 23:46:59,-37.62,-73.65,57.56,85,0,2.39
33,Colac,AU,2020-02-21 23:46:59,-38.33,143.58,66.99,84,36,4.0
34,La Palma,US,2020-02-21 23:46:29,33.85,-118.05,78.8,21,75,10.29
35,La Ronge,CA,2020-02-21 23:47:00,55.1,-105.28,41.0,41,20,9.17
36,Kalevala,RU,2020-02-21 23:47:00,65.2,31.17,34.39,92,100,14.58
37,Karratha,AU,2020-02-21 23:47:01,-20.74,116.85,81.88,78,60,10.58
38,East London,ZA,2020-02-21 23:47:01,-33.02,27.91,73.44,86,30,4.34
39,Thompson,CA,2020-02-21 23:44:58,55.74,-97.86,35.6,51,75,11.41
40,Vallenar,CL,2020-02-21 23:47:01,-28.57,-70.76,59.13,90,0,5.3
41,Punta Arenas,CL,2020-02-21 23:47:02,-53.15,-70.92,62.6,63,75,25.28
