City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,Raahe,FI,64.68,24.48,33.01,99,90,2.24,light rain and snow,0.0,0.0
1,Lebu,CL,-37.62,-73.65,54.23,90,9,3.06,clear sky,0.0,0.0
2,Kukuna,SL,9.4,-12.67,78.24,67,4,3.44,clear sky,0.0,0.0
3,Ushuaia,AR,-54.8,-68.3,55.4,87,75,36.91,shower rain,0.0,0.0
4,Flinders,AU,-34.58,150.86,77.0,60,75,10.29,broken clouds,0.0,0.0
5,Tuktoyaktuk,CA,69.45,-133.04,3.2,77,90,4.7,light snow,0.0,0.0
6,Busselton,AU,-33.65,115.33,80.01,48,16,10.92,few clouds,0.0,0.0
7,Mataura,NZ,-46.19,168.86,61.0,78,36,18.99,scattered clouds,0.0,0.0
8,Doha,QA,25.29,51.53,68.0,93,40,3.36,mist,0.0,0.0
9,Puerto Ayora,EC,-0.74,-90.35,80.6,83,40,11.41,scattered clouds,0.0,0.0
10,Carupano,VE,10.67,-63.26,70.81,95,91,0.22,overcast clouds,0.0,0.0
11,Nova Russas,BR,-4.71,-40.56,72.48,98,100,3.15,overcast clouds,0.0,0.0
12,Bluff,NZ,-46.6,168.33,61.0,76,88,18.01,light rain,0.12,0.0
13,Hofn,IS,64.25,-15.21,31.84,83,100,4.79,light snow,0.0,0.25
14,Tazovskiy,RU,67.47,78.7,14.43,90,100,19.71,overcast clouds,0.0,0.0
15,Wajima,JP,37.4,136.9,39.2,64,75,13.87,broken clouds,0.0,0.0
16,Bengkulu,ID,-3.8,102.27,74.16,85,0,4.29,clear sky,0.0,0.0
17,Hilo,US,19.73,-155.09,82.4,54,1,13.87,clear sky,0.0,0.0
18,Langgons,DE,50.5,8.67,52.0,76,90,16.11,overcast clouds,0.0,0.0
19,Guerrero Negro,MX,27.98,-114.06,62.49,74,100,17.02,overcast clouds,0.0,0.0
20,Tasiilaq,GL,65.61,-37.64,14.0,78,64,2.95,broken clouds,0.0,0.0
21,Nome,US,64.5,-165.41,-5.8,83,1,3.47,mist,0.0,0.0
22,Punta Arenas,CL,-53.15,-70.92,51.8,76,40,23.04,scattered clouds,0.0,0.0
23,Rikitea,PF,-23.12,-134.97,80.11,65,2,7.78,light rain,0.19,0.0
24,Hasaki,JP,35.73,140.83,55.0,34,20,8.05,few clouds,0.0,0.0
25,Flin Flon,CA,54.77,-101.86,41.0,48,90,6.93,overcast clouds,0.0,0.0
26,Arraial Do Cabo,BR,-22.97,-42.03,72.7,89,100,23.53,moderate rain,3.75,0.0
27,Pinotepa Nacional,MX,16.32,-98.02,83.08,42,0,5.1,clear sky,0.0,0.0
28,Fortuna,US,40.6,-124.16,52.0,81,90,11.41,overcast clouds,0.0,0.0
29,Bafra,TR,41.57,35.91,44.6,75,75,11.41,broken clouds,0.0,0.0
30,Jalu,LY,29.03,21.55,52.9,69,0,10.96,clear sky,0.0,0.0
31,Nuuk,GL,64.18,-51.72,15.8,66,100,6.93,light snow,0.0,0.13
32,Ribeira Grande,PT,38.52,-28.7,54.19,84,44,6.64,scattered clouds,0.0,0.0
33,Albany,US,42.6,-73.97,33.8,55,20,3.94,few clouds,0.0,0.0
34,Upernavik,GL,72.79,-56.15,-14.48,95,94,4.27,overcast clouds,0.0,0.0
35,Cherskiy,RU,68.75,161.3,-18.02,95,96,5.97,overcast clouds,0.0,0.0
36,Mattru,SL,7.62,-11.83,78.49,86,30,1.88,scattered clouds,0.0,0.0
37,Mount Gambier,AU,-37.83,140.77,71.6,56,2,5.82,clear sky,0.0,0.0
38,Sohagpur,IN,22.7,78.2,62.26,49,0,4.14,clear sky,0.0,0.0
39,Pangoa,PE,-12.12,-73.0,69.19,99,100,0.72,light rain,1.81,0.0
40,Kamenka,RU,51.32,42.77,28.99,95,97,8.01,light snow,0.0,0.5
41,Souillac,MU,-20.52,57.52,75.99,94,20,2.24,few clouds,0.0,0.0
42,Faanui,PF,-16.48,-151.75,83.07,71,34,9.46,light rain,0.31,0.0
43,Kayunga,UG,0.7,32.89,67.19,94,46,1.14,scattered clouds,0.0,0.0
44,Castro,BR,-24.79,-50.01,61.02,91,63,9.91,broken clouds,0.0,0.0
45,Atuona,PF,-9.8,-139.03,81.93,75,0,11.05,clear sky,0.0,0.0
46,Kapaa,US,22.08,-159.32,78.8,65,1,10.29,clear sky,0.0,0.0
47,Nanchang,CN,28.68,115.88,54.19,77,51,4.18,broken clouds,0.0,0.0
48,Carnarvon,AU,-24.87,113.63,78.8,74,0,4.7,clear sky,0.0,0.0
49,Wielun,PL,51.22,18.57,42.01,88,100,3.0,overcast clouds,0.0,0.0
50,Bethel,US,41.37,-73.41,43.0,29,1,3.36,clear sky,0.0,0.0
51,Qaanaaq,GL,77.48,-69.36,-12.62,70,100,3.06,overcast clouds,0.0,0.0
52,Ngunguru,NZ,-35.62,174.5,70.43,55,32,9.62,scattered clouds,0.0,0.0
53,Pombia,IT,45.65,8.63,46.0,93,89,1.12,overcast clouds,0.0,0.0
54,Russell,US,32.35,-85.2,48.2,56,1,1.57,clear sky,0.0,0.0
55,Chokurdakh,RU,70.63,147.92,-13.47,97,100,2.66,overcast clouds,0.0,0.0
56,Tartagal,AR,-22.52,-63.8,64.31,54,30,1.5,scattered clouds,0.0,0.0
57,Vila Velha,BR,-20.33,-40.29,78.8,88,90,11.41,thunderstorm,0.0,0.0
58,Abu Kamal,SY,34.45,40.92,53.19,68,32,2.26,scattered clouds,0.0,0.0
59,Bischofswerda,DE,51.13,14.18,50.0,70,90,16.11,light rain,0.0,0.0
60,Margate,GB,51.38,1.39,51.01,93,100,17.22,overcast clouds,0.0,0.0
61,Tambopata,PE,-12.73,-69.18,66.51,90,98,3.44,light rain,0.19,0.0
62,Ottappalam,IN,10.77,76.38,78.8,83,20,5.82,mist,0.0,0.0
63,Namibe,AO,-15.2,12.15,75.79,77,100,13.71,overcast clouds,0.0,0.0
64,Oistins,BB,13.07,-59.53,77.0,83,20,5.82,few clouds,0.0,0.0
65,Boo,SE,59.33,18.28,39.99,64,6,18.34,clear sky,0.0,0.0
66,New Norfolk,AU,-42.78,147.06,75.99,42,20,8.05,few clouds,0.0,0.0
67,Batangafo,CF,7.3,18.28,74.55,23,19,2.66,few clouds,0.0,0.0
68,Torbay,CA,47.67,-52.73,26.01,79,75,18.34,broken clouds,0.0,0.0
69,Longyearbyen,SJ,78.22,15.64,-2.2,77,20,11.41,few clouds,0.0,0.0
70,Werda,BW,-25.27,23.28,70.95,77,100,8.1,light rain,2.31,0.0
71,Kodiak,US,57.79,-152.41,19.4,73,90,10.29,light snow,0.0,0.0
72,Iqaluit,CA,63.75,-68.51,-29.0,60,20,6.93,few clouds,0.0,0.0
73,Muli,MV,2.92,73.57,83.17,78,100,16.17,overcast clouds,0.0,0.0
74,Suruc,TR,36.98,38.42,42.8,100,90,9.17,fog,0.0,0.0
75,Bredasdorp,ZA,-34.53,20.04,62.6,67,69,6.93,broken clouds,0.0,0.0
76,Antofagasta,CL,-23.65,-70.4,68.0,82,20,10.29,few clouds,0.0,0.0
77,Arlit,NE,18.74,7.39,72.23,15,57,12.5,broken clouds,0.0,0.0
78,Cape Town,ZA,-33.93,18.42,66.99,72,5,19.46,clear sky,0.0,0.0
79,Itarema,BR,-2.92,-39.92,73.62,95,100,0.47,overcast clouds,0.0,0.0
80,Vila Do Maio,CV,15.13,-23.22,69.8,73,100,20.8,overcast clouds,0.0,0.0
81,Khatanga,RU,71.97,102.5,9.59,81,100,14.27,overcast clouds,0.0,0.0
82,Caravelas,BR,-17.71,-39.25,81.45,83,88,18.41,overcast clouds,0.0,0.0
83,Hue,VN,16.47,107.6,68.0,100,75,2.24,mist,0.0,0.0
84,Nanortalik,GL,60.14,-45.24,27.66,84,100,26.69,snow,0.0,3.69
85,Saint-Philippe,RE,-21.36,55.77,75.2,64,100,6.93,light rain,0.25,0.0
86,Provideniya,RU,64.38,-173.3,-8.5,86,1,4.12,clear sky,0.0,0.0
87,Lavrentiya,RU,65.58,-171.0,-13.79,94,41,5.57,scattered clouds,0.0,0.0
88,Lufilufi,WS,-13.87,-171.6,82.4,94,90,12.75,light intensity drizzle,0.0,0.0
89,Sidney,AU,-33.87,151.21,78.01,69,75,14.99,shower rain,0.0,0.0
90,Druzhinino,RU,56.79,59.51,17.94,97,68,4.79,broken clouds,0.0,0.0
91,Yellowknife,CA,62.46,-114.35,3.2,59,75,6.93,broken clouds,0.0,0.0
92,East London,ZA,-33.02,27.91,69.89,66,100,18.97,light rain,1.5,0.0
93,Victoria,HK,22.29,114.16,70.0,63,20,16.11,few clouds,0.0,0.0
94,Male,MV,4.17,73.51,81.9,81,97,15.37,light rain,1.75,0.0
95,Hobart,AU,-42.88,147.33,75.0,42,20,8.05,few clouds,0.0,0.0
96,Mogadishu,SO,2.04,45.34,80.76,85,2,24.07,clear sky,0.0,0.0
97,Sungairaya,ID,0.7,108.9,75.6,92,96,4.99,overcast clouds,0.0,0.0
98,Ihosy,MG,-22.4,46.12,65.98,98,100,2.66,moderate rain,3.81,0.0
99,Jamestown,US,42.1,-79.24,39.2,43,1,5.82,clear sky,0.0,0.0
100,Sao Miguel Do Araguaia,BR,-13.28,-50.16,75.4,83,99,2.06,overcast clouds,0.0,0.0
101,Moree,AU,-29.47,149.85,75.2,53,90,12.75,overcast clouds,0.0,0.0
102,Coracora,PE,-15.03,-73.78,48.54,95,100,7.29,moderate rain,3.81,0.0
103,Eenhana,NA,-17.47,16.33,71.15,82,48,3.27,light rain,0.75,0.0
104,Santa Maria,BR,-29.68,-53.81,57.56,56,0,1.66,clear sky,0.0,0.0
105,Tara,RU,56.89,74.37,7.56,97,94,4.43,overcast clouds,0.0,0.0
106,Wodonga,AU,-36.12,146.88,80.6,47,40,11.41,scattered clouds,0.0,0.0
107,Verkhniye Tatyshly,RU,56.29,55.86,29.93,97,100,8.55,light snow,0.0,0.19
108,Bara,NG,10.37,10.73,73.8,14,3,8.93,clear sky,0.0,0.0
109,College,US,64.86,-147.8,10.4,78,90,12.75,overcast clouds,0.0,0.0
110,Srednekolymsk,RU,67.45,153.68,-22.38,96,46,1.63,scattered clouds,0.0,0.0
111,Mansehra,PK,34.33,73.2,43.86,45,35,5.17,scattered clouds,0.0,0.0
112,Agadir,MA,30.42,-9.6,66.2,19,0,8.05,clear sky,0.0,0.0
113,Moussoro,TD,13.64,16.49,71.69,15,0,15.12,clear sky,0.0,0.0
114,Buraydah,SA,26.33,43.98,57.2,54,0,12.75,clear sky,0.0,0.0
115,Merauke,ID,-8.47,140.33,84.31,75,100,10.09,overcast clouds,0.0,0.0
116,Kurilsk,RU,45.23,147.88,31.62,95,98,13.94,light snow,0.0,0.19
117,Ilulissat,GL,69.22,-51.1,1.4,45,96,4.7,overcast clouds,0.0,0.0
118,Alofi,NU,-19.06,-169.92,82.4,83,75,12.75,broken clouds,0.0,0.0
119,Mehkerek,HU,46.78,21.45,41.0,65,89,13.87,overcast clouds,0.0,0.0
120,Alyangula,AU,-13.85,136.42,80.6,94,75,1.12,broken clouds,0.0,0.0
121,Alagoinhas,BR,-12.14,-38.42,75.4,83,36,7.34,scattered clouds,0.0,0.0
122,Vaini,TO,-21.2,-175.2,80.6,88,75,12.75,broken clouds,0.0,0.0
123,Itai,BR,-23.42,-49.09,64.76,82,96,14.67,overcast clouds,0.0,0.0
124,Port Alfred,ZA,-33.59,26.89,64.99,79,100,3.0,light rain,0.13,0.0
